Player_id,Player,Team,Matches,Innings,Not Out,Runs,Highest Score,Average,Batting S/R,Sixes,Fours,Fifties,Ducks,Batting Position
1,Rohit Sharma,India,8,8,1,257,92,36.71,156.7,15,24,3,0,1
2,Hardik Pandya,India,8,6,3,144,50*,48,151.57,9,11,1,0,5
4,Virat Kohli,India,8,8,0,151,76,18.87,112.68,7,8,1,2,2
5,Suryakumar Yadav,India,8,8,1,199,53,28.42,135.37,10,15,2,0,4
6,Rishabh Pant,India,8,8,1,171,42,24.42,127.61,6,19,0,1,3
8,Shivam Dube,India,8,8,2,133,34,22.16,114.65,7,6,0,1,7
9,Ravindra Jadeja,India,8,5,2,35,17*,11.66,159.09,1,3,0,1,6
10,Axar Patel,India,8,5,1,92,47,23,139.39,6,5,0,0,8
13,Arshdeep Singh,India,8,3,2,12,9,12,75,0,1,0,0,9
14,Jasprit Bumrah,India,8,1,0,0,0,0,0,0,0,0,1,11
15,Mohammed Siraj,India,3,1,1,7,7*,0,100,0,0,0,0,10
16,Rashid Khan,Afghanistan,8,7,2,57,19*,11.4,123.91,4,5,0,0,8
17,Rahmanullah Gurbaz,Afghanistan,8,8,0,281,80,35.12,124.33,16,18,3,2,1
19,Ibrahim Zadran,Afghanistan,8,8,0,231,70,28.87,107.44,4,25,2,1,2
20,Azmatullah Omarzai,Afghanistan,8,8,0,111,26,13.87,108.82,4,7,0,0,4
21,Najibullah Zadran,Afghanistan,5,4,1,22,19,7.33,95.65,2,0,0,1,6
22,Mohammad Nabi,Afghanistan,8,8,3,56,16*,11.2,80,1,3,0,2,5
23,Gulbadin Naib,Afghanistan,8,8,1,90,49*,12.85,104.65,3,9,0,2,3
24,Karim Janat,Afghanistan,7,5,2,43,14,14.33,113.15,2,2,0,0,7
25,Nangeyalia Kharote,Afghanistan,3,2,1,3,2,3,37.5,0,0,0,0,6
27,Noor Ahmad,Afghanistan,7,3,0,14,12,4.66,58.33,1,1,0,1,9
28,Naveen-ul-Haq,Afghanistan,8,3,0,6,4,2,40,0,1,0,1,10
29,Fazalhaq Farooqi,Afghanistan,8,3,3,6,4*,0,120,0,1,0,0,11
31,Mitchell Marsh,Australia,7,7,1,125,37,20.83,116.82,5,13,0,0,3
32,Ashton Agar,Australia,2,1,0,2,2,2,40,0,0,0,0,10
