Player_id,Player,Team,Matches,Innings,Balls,Maidens,Runs,Wickets,BBI,Average,Economy,Bowling S/R,Catches
2,Hardik Pandya,India,8,8,150,2,191,11,20-Mar,17.36,7.64,13.6,2
8,Shivam Dube,India,8,1,6,0,11,0,-,0,11,-,1
9,Ravindra Jadeja,India,8,7,84,0,106,1,20-Jan,106,7.57,84,3
10,Axar Patel,India,8,8,132,1,173,9,23-Mar,19.22,7.86,14.6,4
11,Kuldeep Yadav,India,5,5,120,0,139,10,19-Mar,13.9,6.95,12,2
13,Arshdeep Singh,India,8,8,180,0,215,17,09-Apr,12.64,7.16,10.5,3
14,Jasprit Bumrah,India,8,8,178,2,124,15,07-Mar,8.26,4.17,11.8,2
15,Mohammed Siraj,India,3,3,66,0,57,1,13-Jan,57,5.18,66,2
16,Rashid Khan,Afghanistan,8,8,174,0,179,14,17-Apr,12.78,6.17,12.4,4
20,Azmatullah Omarzai,Afghanistan,8,6,67,1,104,2,10-Jan,52,9.31,33.5,1
22,Mohammad Nabi,Afghanistan,8,7,78,0,88,3,16-Feb,29.33,6.76,26,6
23,Gulbadin Naib,Afghanistan,8,4,54,0,47,7,20-Apr,6.71,5.22,7.7,5
24,Karim Janat,Afghanistan,7,1,12,0,10,0,-,0,5,-,2
25,Nangeyalia Kharote,Afghanistan,3,1,6,0,13,0,-,0,13,-,0
26,Mujeeb Ur Rahman,Afghanistan,1,1,18,0,16,1,16-Jan,16,5.33,18,0
27,Noor Ahmad,Afghanistan,7,6,102,0,98,1,14-Jan,98,5.76,102,2
28,Naveen-ul-Haq,Afghanistan,8,8,160,0,160,13,26-Apr,12.3,6,12.3,1
29,Fazalhaq Farooqi,Afghanistan,8,8,152,0,160,17,09-May,9.41,6.31,8.9,1
32,Ashton Agar,Australia,2,2,48,1,56,1,Jan-39,56,7,48,1
33,Pat Cummins,Australia,5,5,114,1,144,9,28-Mar,16,7.57,12.6,1
35,Nathan Ellis,Australia,3,3,66,1,74,4,28-Feb,18.5,6.72,16.5,1
37,Josh Hazlewood,Australia,6,6,144,1,145,4,18-Feb,36.25,6.04,36,4
