Player_id,Player,Country,Image,Description,Batting Style,Bowling Style,Playing Role,Flags
1,Rohit Sharma ,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316500/316584.png",Indian top-order batsman known for his elegant stroke play and record-breaking performances in all formats.,Right-hand bat,Right-arm off break,Batsman,https://i.postimg.cc/9FmPp07d/India.png
9,Ravindra Jadeja,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316600.png","Indian all-rounder renowned for his left-arm spin, accurate bowling, and valuable lower-order batting.",Left-hand bat,Left-arm orthodox,All-rounder,https://i.postimg.cc/9FmPp07d/India.png
4,Virat Kohli,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316605.png","Indian top-order batsman renowned for his consistency, technique, and record-breaking performances across formats.",Right-hand bat,-,Batsman,https://i.postimg.cc/9FmPp07d/India.png
299,Andre Russell,West Indies,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316615.png",West Indian all-rounder renowned for his powerful hitting and effective fast bowling in T20 formats.,Right-hand,Right-arm fast,All-rounder,https://i.postimg.cc/zXpc89Nr/windies.png
92,Andrew Balbirnie,Ireland,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316637.png",Irish captain with solid batting skills and leadership qualities.,Right-hand bat,-,Batsman,https://i.postimg.cc/1579gVHf/Ireland.png
91,Paul Stirling ,Ireland,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316638.png",Irish all-rounder known for his aggressive batting and effective off-spin bowling.,Right-hand bat,Right-arm off break,All-rounder,https://i.postimg.cc/1579gVHf/Ireland.png
99,George Dockrell,Ireland,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316659.png",Irish left-arm spinner known for his control and ability to take wickets in the middle overs.,Left-hand bat,Left-arm orthodox,All-rounder,https://i.postimg.cc/1579gVHf/Ireland.png
292,Jason Holder,West Indies,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316673.png","West Indian all-rounder known for his leadership, effective medium pace, and solid lower-order batting.",Right-hand,Right-arm medium-fast,All-rounder,https://i.postimg.cc/zXpc89Nr/windies.png
245,Dhananjaya de Silva,Sri Lanka,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319800/319859.png",Sri Lankan all-rounder recognized for his off-spin bowling and handy lower-order batting.,Right-hand bat,Right-arm offbreak,All-rounder,https://i.postimg.cc/cLrn95Bh/SL.png
249,Dushmantha Chameera,Sri Lanka,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319800/319862.png",Sri Lankan fast bowler known for his pace and ability to deliver crucial spells in all formats.,Right-hand bat,Right-arm fast,Bowler,https://i.postimg.cc/cLrn95Bh/SL.png
102,Barry McCarthy,Ireland,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319800/319870.png",Irish cricketer known for his bowling skills and contributions with the bat in lower-order.,Right-hand bat,Right-arm fast-medium,Bowler,https://i.postimg.cc/1579gVHf/Ireland.png
98,Gareth Delany,Ireland,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319800/319872.png",Irish cricketer known for his all-round capabilities and contributions in both departments.,Right-hand bat,Right-arm leg break,All-rounder,https://i.postimg.cc/1579gVHf/Ireland.png
93,Harry Tector,Ireland,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319800/319873.png",Young Irish batsman with a growing reputation for his consistent performances.,Right-hand bat,-,Batsman,https://i.postimg.cc/1579gVHf/Ireland.png
100,Mark Adair,Ireland,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319800/319892.png",All-rounder from Ireland with a strong batting ability and effective fast-medium bowling.,Right-hand bat,Right-arm fast-medium,All-rounder,https://i.postimg.cc/1579gVHf/Ireland.png
2,Hardik Pandya ,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319900/319938.png",Indian all-rounder recognized for his powerful hitting and effective medium pace bowling.,Right-hand bat,Right-arm fast-medium,All-rounder,https://i.postimg.cc/9FmPp07d/India.png
14,Jasprit Bumrah,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319900/319940.png","Indian fast bowler renowned for his pace, accuracy, and ability to perform under pressure in all formats.",Right-hand bat,Right-arm fast,Bowler,https://i.postimg.cc/9FmPp07d/India.png
11,Kuldeep Yadav,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319900/319943.png",Indian leg-spinner recognized for his variations and effectiveness in limited-overs cricket.,Left-hand bat,Left-arm chinaman,Bowler,https://i.postimg.cc/9FmPp07d/India.png
12,Yuzvendra Chahal,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319900/319955.png",Indian leg-spinner known for his impact in T20 cricket with his variety of spin deliveries.,Right-hand bat,Right-arm leg break,Bowler,https://i.postimg.cc/9FmPp07d/India.png
298,Nicholas Pooran,West Indies,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320100/320109.png",West Indian wicketkeeper-batsman known for his explosive hitting and key innings in limited-overs cricket.,Left-hand,-,Wicketkeeper-batsman,https://i.postimg.cc/zXpc89Nr/windies.png
291,Shimron Hetmyer,West Indies,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320100/320116.png",West Indian batsman renowned for his aggressive style and match-winning innings in limited-overs cricket.,Left-hand,-,Batsman,https://i.postimg.cc/zXpc89Nr/windies.png
